Order ID,Customer ID,SalesPerson,Order Date,Order Priority,SKU,Order Quantity,Unit Sell Price,Discount,Shipping Amount,Ship Mode,Product Container,Ship Date
710,C729,Bob,1/01/2015,Low,SKU356,42,3.58,0.01,5.47,Regular Air,Small Box,5/01/2015
710,C729,Bob,1/01/2015,Low,SKU117,11,41.32,0.09,8.66,Regular Air,Medium Box,3/01/2015
710,C729,Bob,1/01/2015,Low,SKU1123,29,145.45,0.02,17.85,Delivery Truck,Jumbo Drum,5/01/2015
59174,C260,John,1/01/2015,Medium,SKU1134,6,204.1,0.09,13.99,Express Air,Medium Box,3/01/2015
39841,C084,John,1/01/2015,Medium,SKU627,43,6.68,0.01,6.92,Regular Air,Small Box,3/01/2015
48480,C692,John,2/01/2015,Critical,SKU949,32,370.98,0.1,99,Delivery Truck,Jumbo Drum,5/01/2015
54145,C398,John,2/01/2015,Low,SKU152,34,2.08,0.1,5.33,Regular Air,Small Box,2/01/2015
25860,C258,Bob,2/01/2015,Low,SKU471,9,83.98,0.05,5.01,Express Air,Small Box,4/01/2015
25860,C258,John,2/01/2015,Low,SKU1218,23,65.99,0.07,19.99,Regular Air,Small Box,11/01/2015
38215,C227,Richard,2/01/2015,Critical,SKU1138,42,20.99,0.07,4.81,Regular Air,Medium Box,3/01/2015
38215,C227,Bob,2/01/2015,Critical,SKU572,38,104.85,0.09,19.99,Express Air,Small Box,4/01/2015
57606,C199,John,3/01/2015,Not Specified,SKU1011,37,8.46,0.08,3.62,Regular Air,Small Pack,4/01/2015
20449,C580,John,3/01/2015,Medium,SKU372,19,67.28,0.1,19.99,Regular Air,Small Box,4/01/2015
8998,C465,Bob,3/01/2015,Low,SKU285,37,50.98,0.07,13.66,Regular Air,Small Box,7/01/2015
8998,C465,John,3/01/2015,Low,SKU1064,12,22.24,0.01,1.99,Regular Air,Small Pack,5/01/2015
8998,C465,Bob,3/01/2015,Low,SKU917,13,13.43,0.04,5.5,Regular Air,Small Box,8/01/2015
29058,C782,Bob,3/01/2015,High,SKU710,43,6.48,0.02,6.35,Regular Air,Small Box,5/01/2015
29058,C782,Bob,3/01/2015,High,SKU816,23,5.84,0.06,1,Regular Air,Wrap Bag,4/01/2015
29058,C782,Richard,3/01/2015,High,SKU886,41,24.98,0.04,8.79,Regular Air,Small Box,3/01/2015
29058,C782,John,3/01/2015,High,SKU022,33,880.98,0.07,44.55,Delivery Truck,Jumbo Box,5/01/2015
46050,C412,Bob,4/01/2015,High,SKU313,3,289.53,0.02,19.99,Regular Air,Small Box,7/01/2015
46050,C412,Richard,4/01/2015,High,SKU1077,5,449.99,0.02,24.49,Regular Air,Large Box,5/01/2015
46050,C412,Richard,4/01/2015,High,SKU920,48,95.43,0.03,19.99,Express Air,Small Box,7/01/2015
56293,C535,Richard,5/01/2015,Not Specified,SKU202,34,19.99,0.04,11.17,Regular Air,Large Box,5/01/2015
56293,C535,Bob,5/01/2015,Not Specified,SKU962,44,16.91,0.06,6.25,Regular Air,Small Box,6/01/2015
5504,C043,Bob,5/01/2015,High,SKU566,6,5.78,0.06,7.64,Express Air,Small Box,7/01/2015
5504,C043,John,5/01/2015,High,SKU1220,15,45.99,0.04,4.99,Regular Air,Small Box,7/01/2015
14755,C716,Richard,5/01/2015,High,SKU738,31,3.85,0.09,0.7,Regular Air,Wrap Bag,5/01/2015
14755,C716,Richard,5/01/2015,High,SKU1153,44,65.99,0.1,4.2,Express Air,Small Box,7/01/2015
33218,C264,John,6/01/2015,Not Specified,SKU428,25,4.57,0.07,5.42,Regular Air,Small Box,8/01/2015
33218,C264,Bob,6/01/2015,Not Specified,SKU098,29,16.16,0.04,7.74,Regular Air,Small Box,7/01/2015
44133,C500,Richard,6/01/2015,High,SKU185,35,5.28,0.06,3.96,Regular Air,Wrap Bag,7/01/2015
47171,C674,Bob,7/01/2015,Medium,SKU716,21,6.48,0.01,8.4,Regular Air,Small Box,8/01/2015
47171,C674,Richard,7/01/2015,Medium,SKU747,19,2.67,0.03,0.86,Regular Air,Wrap Bag,8/01/2015
47171,C674,Richard,7/01/2015,Medium,SKU240,32,217.85,0.05,29.1,Delivery Truck,Jumbo Box,7/01/2015
5510,C223,John,7/01/2015,Medium,SKU610,12,9.68,0.08,2.03,Regular Air,Wrap Bag,10/01/2015
12708,C794,Bob,7/01/2015,Low,SKU763,44,3.28,0,0.98,Express Air,Wrap Bag,12/01/2015
48935,C375,Bob,7/01/2015,Low,SKU525,21,4.91,0,0.5,Regular Air,Small Box,9/01/2015
2244,C258,John,8/01/2015,Critical,SKU375,19,3.8,0.01,1.49,Express Air,Small Box,10/01/2015
13447,C585,Richard,8/01/2015,High,SKU1138,24,20.99,0.01,4.81,Regular Air,Medium Box,10/01/2015
58053,C728,Bob,8/01/2015,Medium,SKU672,42,6.68,0.02,7.3,Regular Air,Small Box,10/01/2015
37668,C786,Richard,8/01/2015,Low,SKU1132,33,13.99,0.01,7.51,Regular Air,Medium Box,8/01/2015
4611,C719,Richard,9/01/2015,High,SKU1105,32,500.98,0.03,28.14,Delivery Truck,Jumbo Drum,9/01/2015
32932,C420,John,9/01/2015,Low,SKU1071,49,599.99,0.05,24.49,Regular Air,Large Box,13/01/2015
8227,C154,Bob,10/01/2015,Not Specified,SKU1018,32,4.77,0.05,2.39,Express Air,Small Pack,11/01/2015
10247,C251,Richard,10/01/2015,Medium,SKU669,21,4.98,0.06,5.49,Regular Air,Small Box,11/01/2015
10247,C251,John,10/01/2015,Medium,SKU1039,24,9.78,0.03,1.99,Regular Air,Small Pack,12/01/2015
23782,C417,John,10/01/2015,Low,SKU050,46,500.98,0.09,26,Delivery Truck,Jumbo Drum,10/01/2015
23782,C417,John,10/01/2015,Low,SKU963,7,20.34,0.09,35,Regular Air,Large Box,15/01/2015
24740,C479,Richard,10/01/2015,Medium,SKU119,11,92.23,0.04,39.61,Regular Air,Medium Box,11/01/2015
24740,C479,John,10/01/2015,Medium,SKU804,35,3.28,0.09,5,Express Air,Wrap Bag,10/01/2015
57318,C263,John,10/01/2015,Medium,SKU525,33,4.91,0.02,0.5,Regular Air,Small Box,12/01/2015
57318,C263,Richard,10/01/2015,Medium,SKU627,12,6.68,0.1,6.92,Regular Air,Small Box,12/01/2015
1280,C322,Bob,10/01/2015,Low,SKU1044,40,20.97,0.05,6.5,Regular Air,Small Box,10/01/2015
59270,C219,Bob,11/01/2015,High,SKU1126,48,517.48,0.01,16.63,Delivery Truck,Jumbo Box,13/01/2015
59270,C219,Richard,11/01/2015,High,SKU933,14,142.86,0.01,19.99,Regular Air,Small Box,12/01/2015
59270,C219,Richard,11/01/2015,High,SKU1035,47,31.78,0.01,1.99,Regular Air,Small Pack,13/01/2015
59270,C219,Bob,11/01/2015,High,SKU042,5,122.99,0.08,70.2,Delivery Truck,Jumbo Drum,11/01/2015
48487,C134,John,11/01/2015,Low,SKU427,27,12.97,0,1.49,Regular Air,Small Box,13/01/2015
42567,C763,Bob,11/01/2015,Critical,SKU226,12,146.34,0,43.75,Delivery Truck,Jumbo Box,13/01/2015
56327,C785,John,11/01/2015,Medium,SKU622,42,40.99,0.05,17.48,Regular Air,Small Box,12/01/2015
56327,C785,John,11/01/2015,Medium,SKU267,11,180.98,0.01,55.24,Delivery Truck,Jumbo Drum,13/01/2015
56327,C785,Bob,11/01/2015,Medium,SKU120,47,29.18,0.08,8.55,Express Air,Small Box,12/01/2015
19494,C174,Richard,12/01/2015,High,SKU164,39,22.23,0.05,8.99,Regular Air,Small Pack,14/01/2015
19494,C174,Bob,12/01/2015,High,SKU817,2,2.74,0.03,3.5,Regular Air,Small Pack,15/01/2015
38369,C263,John,12/01/2015,Not Specified,SKU255,3,71.37,0.02,69,Regular Air,Large Box,13/01/2015
34948,C137,Bob,12/01/2015,Critical,SKU303,15,68.81,0.08,60,Delivery Truck,Jumbo Drum,12/01/2015
1857,C659,Richard,12/01/2015,High,SKU769,37,5.58,0.07,1.99,Regular Air,Wrap Bag,13/01/2015
17825,C452,Bob,13/01/2015,Not Specified,SKU896,26,37.76,0.06,12.9,Regular Air,Small Box,16/01/2015
12580,C208,Bob,13/01/2015,Low,SKU801,43,3.28,0.04,3.97,Regular Air,Wrap Bag,15/01/2015
